Journal,Abbreviation,Society,Publisher,Policy Description,Policy short,Date policy took effect,Integrated into Dryad?,Date of Dryad integration,Data Policy URLs,Comment
Biological Conservation,Biol. Conserv.,,Elsevier,encourages data archiving by all authors,Encouraged,-,,,http://www.elsevier.com/journals/biological-conservation/0006-3207/guide-for-authors,
BMC Biology,BMC Biol.,,BMC,Requires data archiving,Required,>19.08.2014,,,http://www.biomedcentral.com/bmcbiol/authors/instructions/researcharticle#formatting-supporting-data,"Requires public data archiving now, but there is no trace of that policy until Aug 19, 2014"
BMC Plant Biology,BMC Plant Biol.,,BMC,Encourages data archiving,Encouraged,-,,,http://www.biomedcentral.com/bmcplantbiol/authors/instructions/researcharticle,
Conservation genetics,Conserv. Genet.,,Springer,-,None,-,,,http://www.springer.com/life+sciences/ecology/journal/10592,
Evolutionary Ecology,Evol. Ecol.,,Springer,-,None,-,,,http://www.springer.com/life+sciences/evolutionary+%26+developmental+biology/journal/10682?detailsPage=pltci_595467,
FEBBS Letters,FEBS Lett.,,Elsevier,-,None,-,,,http://cdn.elsevier.com/promis_misc/febs_gfa_jan2015.pdf,
Genome research,Genome Res.,,,Requires data archiving,Required,<06.07.2008,??,??,http://genome.cshlp.org/site/misc/ifora_overview.xhtml   http://genome.cshlp.org/site/misc/matdatarel.xhtml,"Earliest Google hit for “Genome Research encourages all data producers to make their data” is Jul 6, 2008."
ISME Journal,ISME J.,,,Data archiving is encouraged for all Nature journals,Encouraged,-,,,http://www.nature.com/ismej/about/for_authors.html  All nature journals: http://www.nature.com/authors/policies/availability.html#data,
Journal of Experimental Biology,J. Exp. Biol.,,,-,None,-,,,http://jeb.biologists.org/site/journal/access_policies.xhtml,
Nature structural & molecular biology,Nat. Struct. Mol. Biol.,,,Data archiving is encouraged for all Nature journals,Encouraged,-,,,http://www.nature.com/nsmb/authors/submit/index.html#policy All nature journals: http://www.nature.com/authors/policies/availability.html#data,
New Phytologist,New Phytol.,,Wiley-Blackwell,"Requires archiving of data “that are integral to the manuscript”, preferably among supplementary materials",Required,<23.11.2010,,,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1469-8137/homepage/ForAuthors.html https://www.newphytologist.org/app/webroot/img/upload/files/nph_authorguidelines.pdf,"Requires archiving data “integral to the manuscript” since at least Nov 23, 2010, according to the snapshots of the link on the left on archive.org."
Proceedings of the Royal Society B: Biological Sciences,Proc. R. Soc. B-Biol. Sci.,,,Requires data archiving,Required,<20.03.2013,,,http://royalsocietypublishing.org/ethics-and-policy#question5 http://royalsocietypublishing.org/data-sharing http://blog.datadryad.org/2013/03/20/biology-letters-integrates-with-dryad/,"Before 20.03.2013, according to the dryad blog."
Physiological Genomics,Physiol. Genomics,,,-,None,-,,,http://www.the-aps.org/mm/Publications/Info-For-Authors  http://www.the-aps.org/mm/Publications/Info-For-Authors/Data-Repositories,
The Plant Journal,Plant J.,,Wiley-Blackwell,Requires archiving of data “that are integral to the manuscript”,Required,< 18.08.2010,,,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1365-313X/homepage/ForAuthors.html,
